source,id,name,tox,smiles
LiverTox,3385,Fluorouracil,1,C1=C(C(=O)NC(=O)N1)F
LiverTox,8378,Neomycin,0,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N
LiverTox,3081884,GlatiramerAcetate,1,C[C@@H](C(=O)O)N.CC(=O)O.C1=CC(=CC=C1C[C@@H](C(=O)O)N)O.C(CCN)C[C@@H](C(=O)O)N.C(CC(=O)O)[C@@H](C(=O)O)N
DILI,4812,phytonadione,0,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C
DILI,2913,cyproheptadine,1,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1
DILI,44093,captopril,1,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O
DILI,19649,streptomycin,0,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
DILI,656719,lubiprostone,0,CCCCC([C@]1(CC[C@H]2[C@H](O1)CC(=O)[C@H]2CCCCCCC(=O)O)O)(F)F
LiverTox,9871419,Ticagrelor,0,CCCSC1=NC(=C2C(=N1)N(N=N2)[C@@H]3C[C@@H]([C@H]([C@H]3O)O)OCCO)N[C@@H]4C[C@H]4C5=CC(=C(C=C5)F)F
DILI,3385,fluorouracil,1,C1=C(C(=O)NC(=O)N1)F
DILI,498142,carboplatin,1,C1CC(C1)(C(=O)O)C(=O)O.[NH2-].[NH2-].[Pt]
LiverTox,5362119,Lisinopril,1,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)N[C@@H](CCC2=CC=CC=C2)C(=O)O)C(=O)O
DILI,2313,bendazac,1,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)O
DILI,4601,orphenadrine,0,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C
DILI,64143,nelfinavir,1,CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O
DILI,53232,lovastatin,1,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
LiverTox,3562,Halothane,1,C(C(F)(F)F)(Cl)Br
DILI,5184,scopolamine,0,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4
LiverTox,60835,Duloxetine,1,CNCC[C@@H](C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
DILI,9681,methysergide,0,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C
DILI,53359,tolrestat,1,CN(CC(=O)O)C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC
DILI,247,betaine,0,C[N+](C)(C)CC(=O)[O-]
DILI,6037,folicacid,0,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N
DILI,3657,hydroxyurea,1,C(=O)(N)NO
DILI,18381,dicloxacillin,1,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O
DILI,9887054,oxaliplatin,1,C1CC[C@H]([C@@H](C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2]
